TIME;SOURCE;DESTINATION;PORT;FLAGS;LENGTH
15:34:06.685170;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2694;S;120
15:34:06.685186;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2695;S;120
15:34:06.685202;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2696;S;120
15:34:06.685218;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2697;S;120
15:34:06.685235;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2698;S;120
15:34:06.685251;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2699;S;120
15:34:06.685267;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2700;S;120
15:34:06.685285;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2701;S;120
15:34:06.685301;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2702;S;120
15:34:06.685318;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2703;S;120
15:34:06.685335;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2704;S;120
15:34:06.685352;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2705;S;120
15:34:06.685369;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2706;S;120
15:34:06.685385;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2707;S;120
15:34:06.685402;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2708;S;120
15:34:06.685418;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2709;S;120
15:34:06.685434;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2710;S;120
15:34:06.685450;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2711;S;120
15:34:06.685467;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2712;S;120
15:34:06.685483;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2713;S;120
15:34:06.685499;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2714;S;120
15:34:06.685515;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2715;S;120
15:34:06.685532;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2716;S;120
15:34:06.685548;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2717;S;120
15:34:06.685564;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2718;S;120
15:34:06.685580;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2719;S;120
15:34:06.685597;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2720;S;120
15:34:06.685614;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2721;S;120
15:34:06.685630;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2722;S;120
15:34:06.685647;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2723;S;120
15:34:06.685663;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2724;S;120
15:34:06.685679;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2725;S;120
15:34:06.685696;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2726;S;120
15:34:06.685712;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2727;S;120
15:34:06.685728;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2728;S;120
15:34:06.685753;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2729;S;120
15:34:06.685773;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2730;S;120
15:34:06.685793;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2731;S;120
15:34:06.685812;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2732;S;120
15:34:06.685831;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2733;S;120
15:34:06.685850;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2734;S;120
15:34:06.685869;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2735;S;120
15:34:06.685888;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2736;S;120
15:34:06.685904;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2737;S;120
15:34:06.685920;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2738;S;120
15:34:06.685936;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2739;S;120
15:34:06.685953;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2740;S;120
15:34:06.685969;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2741;S;120
15:34:06.685985;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2742;S;120
15:34:06.686001;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2743;S;120
15:34:06.686017;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2744;S;120
15:34:06.686033;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2745;S;120
15:34:06.686049;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2746;S;120
15:34:06.686065;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2747;S;120
15:34:06.686081;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2748;S;120
15:34:06.686097;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2749;S;120
15:34:06.686113;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2750;S;120
15:34:06.686129;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2751;S;120
15:34:06.686146;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2752;S;120
15:34:06.686162;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2753;S;120
15:34:06.686178;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2754;S;120
